path,row,index,season,category,type
279_0_2023_I_0_1,279,0,I,0,1
153_1_2024_W_0_1,153,1,W,0,1
158_1_2024_V_0_1,158,1,V,0,1
333_2_2024_V_0_1,333,2,V,0,1
146_1_2024_V_0_1,146,1,V,0,1
304_0_2024_V_0_1,304,0,V,0,1
193_2_2023_I_0_1,193,2,I,0,1
22_0_2024_V_0_1,22,0,V,0,1
96_1_2024_V_0_1,96,1,V,0,1
143_2_2023_V_0_1,143,2,V,0,1
144_2_2024_W_0_1,144,2,W,0,1
214_2_2024_V_0_1,214,2,V,0,1
67_1_2024_W_0_1,67,1,W,0,1
193_1_2023_I_0_1,193,1,I,0,1
252_1_2023_I_0_1,252,1,I,0,1
19_1_2024_V_0_1,19,1,V,0,1
100_0_2023_I_0_1,100,0,I,0,1
198_2_2024_V_0_1,198,2,V,0,1
160_0_2024_V_0_1,160,0,V,0,1
289_1_2024_V_0_1,289,1,V,0,1
208_1_2024_V_0_1,208,1,V,0,1
246_0_2024_V_0_1,246,0,V,0,1
127_2_2024_V_0_1,127,2,V,0,1
22_1_2024_V_0_1,22,1,V,0,1
377_0_2024_V_0_1,377,0,V,0,1
39_2_2024_V_0_1,39,2,V,0,1
285_1_2024_W_0_1,285,1,W,0,1
340_1_2024_V_0_1,340,1,V,0,1
2_1_2024_V_0_1,2,1,V,0,1
40_0_2024_V_0_1,40,0,V,0,1
228_0_2024_V_0_1,228,0,V,0,1
99_1_2024_V_0_1,99,1,V,0,1
284_0_2024_W_0_1,284,0,W,0,1
138_2_2024_W_0_1,138,2,W,0,1
145_1_2024_V_0_1,145,1,V,0,1
8_2_2024_V_0_1,8,2,V,0,1
56_1_2024_V_0_1,56,1,V,0,1
206_0_2024_V_0_1,206,0,V,0,1
304_2_2024_V_0_1,304,2,V,0,1
144_1_2024_W_0_1,144,1,W,0,1
393_0_2023_I_0_1,393,0,I,0,1
344_1_2024_V_0_1,344,1,V,0,1
96_0_2024_V_0_1,96,0,V,0,1
181_1_2023_I_0_1,181,1,I,0,1
74_1_2024_V_0_1,74,1,V,0,1
45_0_2024_W_0_1,45,0,W,0,1
283_1_2024_W_0_1,283,1,W,0,1
144_0_2024_W_0_1,144,0,W,0,1
335_2_2024_V_0_1,335,2,V,0,1
143_1_2023_I_0_1,143,1,I,0,1
308_1_2024_V_0_1,308,1,V,0,1
56_2_2024_V_0_1,56,2,V,0,1
295_2_2023_I_0_1,295,2,I,0,1
342_2_2024_V_0_1,342,2,V,0,1
374_0_2023_I_0_1,374,0,I,0,1
399_0_2023_I_0_1,399,0,I,0,1
386_0_2024_W_0_1,386,0,W,0,1
206_1_2024_V_0_1,206,1,V,0,1
181_0_2023_I_0_1,181,0,I,0,1
214_1_2024_V_0_1,214,1,V,0,1
328_1_2024_V_0_1,328,1,V,0,1
308_0_2024_V_0_1,308,0,V,0,1
350_2_2024_V_0_1,350,2,V,0,1
179_2_2024_V_0_1,179,2,V,0,1
38_0_2024_V_0_1,38,0,V,0,1
356_2_2024_V_0_1,356,2,V,0,1
172_0_2024_V_0_1,172,0,V,0,1
394_0_2024_V_0_1,394,0,V,0,1
131_1_2024_V_0_1,131,1,V,0,1
132_2_2024_V_0_1,132,2,V,0,1
145_0_2024_V_0_1,145,0,V,0,1
132_0_2024_V_0_1,132,0,V,0,1
56_0_2024_V_0_1,56,0,V,0,1
295_0_2024_V_0_1,295,0,V,0,1
131_0_2024_V_0_1,131,0,V,0,1
109_0_2024_V_0_1,109,0,V,0,1
146_0_2024_V_0_1,146,0,V,0,1
30_0_2024_V_0_1,30,0,V,0,1
209_2_2024_W_0_1,209,2,W,0,1
179_1_2024_V_0_1,179,1,V,0,1
40_2_2024_V_0_1,40,2,V,0,1
339_0_2023_I_0_1,339,0,I,0,1
208_2_2024_V_0_1,208,2,V,0,1
425_1_2024_V_0_1,425,1,V,0,1
67_0_2024_W_0_1,67,0,W,0,1
289_2_2024_V_0_1,289,2,V,0,1
138_1_2024_W_0_1,138,1,W,0,1
298_2_2023_I_0_1,298,2,I,0,1
11_1_2024_V_0_1,11,1,V,0,1
116_0_2024_V_0_1,116,0,V,0,1
335_0_2024_V_0_1,335,0,V,0,1
417_0_2024_V_0_1,417,0,V,0,1
220_2_2024_V_0_1,220,2,V,0,1
235_2_2023_I_0_1,235,2,I,0,1
319_0_2023_I_0_1,319,0,I,0,1
235_1_2023_I_0_1,235,1,I,0,1
143_0_2023_I_0_1,143,0,I,0,1
417_2_2024_V_0_1,417,2,V,0,1
100_2_2023_I_0_1,100,2,I,0,1
220_1_2024_V_0_1,220,1,V,0,1
279_1_2023_I_0_1,279,1,I,0,1
360_1_2024_V_0_1,360,1,V,0,1
206_2_2024_V_0_1,206,2,V,0,1
375_0_2024_V_0_1,375,0,V,0,1
158_2_2024_V_0_1,158,2,V,0,1
457_0_2024_V_0_1,457,0,V,0,1
360_0_2024_V_0_1,360,0,V,0,1
246_2_2024_V_0_1,246,2,V,0,1
153_0_2024_W_0_1,153,0,W,0,1
284_1_2024_W_0_1,284,1,W,0,1
333_1_2024_V_0_1,333,1,V,0,1
309_2_2024_V_0_1,309,2,V,0,1
350_1_2024_V_0_1,350,1,V,0,1
235_0_2023_I_0_1,235,0,I,0,1
386_2_2024_W_0_1,386,2,W,0,1
116_1_2024_V_0_1,116,1,V,0,1
355_0_2024_V_0_1,355,0,V,0,1
19_2_2024_V_0_1,19,2,V,0,1
340_2_2024_V_0_1,340,2,V,0,1
356_1_2024_V_0_1,356,1,V,0,1
46_1_2024_V_0_1,46,1,V,0,1
457_1_2024_V_0_1,457,1,V,0,1
101_0_2024_V_0_1,101,0,V,0,1
391_1_2024_V_0_1,391,1,V,0,1
308_2_2024_V_0_1,308,2,V,0,1
172_1_2024_V_0_1,172,1,V,0,1
46_0_2024_V_0_1,46,0,V,0,1
285_0_2024_W_0_1,285,0,W,0,1
187_0_2024_V_0_1,187,0,V,0,1
279_2_2023_I_0_1,279,2,I,0,1
26_1_2024_V_0_1,26,1,V,0,1
26_0_2024_V_0_1,26,0,V,0,1
394_2_2024_V_0_1,394,2,V,0,1
319_1_2023_I_0_1,319,1,I,0,1
369_0_2024_V_0_1,369,0,V,0,1
127_1_2024_W_0_1,127,1,W,0,1
393_2_2023_I_0_1,393,2,I,0,1
319_2_2023_I_0_1,319,2,I,0,1
344_0_2024_V_0_1,344,0,V,0,1
146_2_2024_V_0_1,146,2,V,0,1
198_0_2024_V_0_1,198,0,V,0,1
252_2_2023_I_0_1,252,2,I,0,1
283_0_2024_W_0_1,283,0,W,0,1
360_2_2024_V_0_1,360,2,V,0,1
289_0_2024_V_0_1,289,0,V,0,1
74_2_2024_V_0_1,74,2,V,0,1
339_1_2023_I_0_1,339,1,I,0,1
246_1_2024_V_0_1,246,1,V,0,1
304_1_2024_V_0_1,304,1,V,0,1
209_0_2024_W_0_1,209,0,W,0,1
208_0_2024_V_0_1,208,0,V,0,1
328_2_2024_V_0_1,328,2,V,0,1
116_2_2024_V_0_1,116,2,V,0,1
355_1_2024_V_0_1,355,1,V,0,1
335_1_2024_V_0_1,335,1,V,0,1
131_2_2024_V_0_1,131,2,V,0,1
172_2_2024_V_0_1,172,2,V,0,1
309_1_2024_V_0_1,309,1,V,0,1
160_1_2024_V_0_1,160,1,V,0,1
228_1_2024_V_0_1,228,1,V,0,1
231_1_2024_V_0_1,231,1,V,0,1
369_2_2024_V_0_1,369,2,V,0,1
138_0_2024_W_0_1,138,0,W,0,1
328_0_2024_V_0_1,328,0,V,0,1
45_1_2024_W_0_1,45,1,W,0,1
369_1_2024_V_0_1,369,1,V,0,1
22_2_2024_V_0_1,22,2,V,0,1
8_0_2024_V_0_1,8,0,V,0,1
340_0_2024_V_0_1,340,0,V,0,1
67_2_2024_V_0_1,67,2,V,0,1
99_0_2024_V_0_1,99,0,V,0,1
109_1_2024_V_0_1,109,1,V,0,1
355_2_2024_V_0_1,355,2,V,0,1
231_0_2024_V_0_1,231,0,V,0,1
350_0_2024_V_0_1,350,0,V,0,1
231_2_2024_V_0_1,231,2,V,0,1
425_2_2024_V_0_1,425,2,V,0,1
160_2_2024_V_0_1,160,2,V,0,1
399_1_2023_I_0_1,399,1,I,0,1
393_1_2023_I_0_1,393,1,I,0,1
38_2_2024_V_0_1,38,2,V,0,1
187_1_2024_V_0_1,187,1,V,0,1
356_0_2024_V_0_1,356,0,V,0,1
193_0_2023_I_0_1,193,0,I,0,1
346_1_2023_I_0_1,346,1,I,0,1
284_2_2024_W_0_1,284,2,W,0,1
38_1_2024_V_0_1,38,1,V,0,1
101_1_2024_V_0_1,101,1,V,0,1
30_2_2024_V_0_1,30,2,V,0,1
357_0_2024_V_0_1,357,0,V,0,1
333_0_2024_V_0_1,333,0,V,0,1
40_1_2024_V_0_1,40,1,V,0,1
283_2_2024_W_0_1,283,2,W,0,1
298_1_2024_W_0_1,298,1,W,0,1
417_1_2024_V_0_1,417,1,V,0,1
