path,row,index,season,category,type
6124_1_2023_I_0_1,6124,1,I,0,1
8880_1_2024_V_0_2,8880,1,V,0,2
1930_1_2023_S_1_2,1930,1,S,1,2
4016_1_2024_V_1_2,4016,1,V,1,2
4801_1_2023_I_0_3,4801,1,I,0,3
22256_2_2024_V_0_1,22256,2,V,0,1
20745_2_2024_V_0_1,20745,2,V,0,1
33399_2_2024_V_0_3,33399,2,V,0,3
881_1_2023_I_0_3,881,1,I,0,3
2366_1_2024_V_0_2,2366,1,V,0,2
9479_0_2023_I_0_2,9479,0,I,0,2
16304_2_2024_V_0_1,16304,2,V,0,1
10561_0_2024_V_0_2,10561,0,V,0,2
27661_1_2024_V_0_3,27661,1,V,0,3
4570_0_2023_I_2_1,4570,0,I,2,1
8757_0_2024_V_1_2,8757,0,V,1,2
27586_1_2024_V_0_3,27586,1,V,0,3
11044_2_2023_I_0_1,11044,2,I,0,1
961_0_2022_I_1_1,961,0,I,1,1
26654_0_2024_V_0_2,26654,0,V,0,2
1743_2_2024_V_0_2,1743,2,V,0,2
27843_1_2024_W_0_1,27843,1,W,0,1
32945_0_2024_V_0_1,32945,0,V,0,1
1269_0_2023_V_0_3,1269,0,V,0,3
9008_0_2023_I_0_1,9008,0,I,0,1
19885_0_2024_V_0_3,19885,0,V,0,3
6180_2_2024_V_0_2,6180,2,V,0,2
33275_2_2024_V_0_2,33275,2,V,0,2
1354_2_2024_V_0_3,1354,2,V,0,3
2065_2_2024_V_0_2,2065,2,V,0,2
28590_2_2024_V_0_3,28590,2,V,0,3
3973_0_2024_V_1_2,3973,0,V,1,2
10858_2_2024_V_0_2,10858,2,V,0,2
999_2_2024_V_0_2,999,2,V,0,2
7822_2_2024_V_0_1,7822,2,V,0,1
5469_0_2023_I_0_1,5469,0,I,0,1
6281_0_2024_V_0_2,6281,0,V,0,2
8027_0_2024_V_4_1,8027,0,V,4,1
6365_2_2024_V_0_2,6365,2,V,0,2
4103_0_2024_V_0_3,4103,0,V,0,3
27758_0_2024_V_0_3,27758,0,V,0,3
27721_2_2023_I_1_2,27721,2,I,1,2
5886_2_2024_V_0_1,5886,2,V,0,1
29548_2_2024_W_1_2,29548,2,W,1,2
6928_2_2024_V_0_1,6928,2,V,0,1
3283_1_2024_V_0_3,3283,1,V,0,3
3365_2_2024_V_0_2,3365,2,V,0,2
29409_2_2024_V_0_1,29409,2,V,0,1
8702_1_2023_I_0_1,8702,1,I,0,1
9984_2_2023_I_0_3,9984,2,I,0,3
8300_1_2024_V_0_1,8300,1,V,0,1
5010_2_2024_V_0_1,5010,2,V,0,1
6844_1_2024_V_1_3,6844,1,V,1,3
4952_1_2024_W_0_1,4952,1,W,0,1
32399_0_2023_I_4_1,32399,0,I,4,1
27561_2_2023_I_0_1,27561,2,I,0,1
9838_1_2024_V_0_2,9838,1,V,0,2
7663_0_2024_V_1_3,7663,0,V,1,3
29650_2_2024_V_0_1,29650,2,V,0,1
33102_2_2024_V_0_2,33102,2,V,0,2
3309_2_2024_V_0_1,3309,2,V,0,1
7837_2_2024_V_0_1,7837,2,V,0,1
819_1_2024_V_0_1,819,1,V,0,1
8684_1_2024_V_4_1,8684,1,V,4,1
29557_0_2024_V_0_3,29557,0,V,0,3
30745_0_2024_V_0_3,30745,0,V,0,3
7087_2_2024_V_0_3,7087,2,V,0,3
9880_1_2024_V_4_1,9880,1,V,4,1
2055_2_2023_I_0_3,2055,2,I,0,3
4271_1_2024_V_1_2,4271,1,V,1,2
10964_0_2024_V_0_2,10964,0,V,0,2
28190_2_2024_W_0_1,28190,2,W,0,1
914_1_2024_V_0_3,914,1,V,0,3
9023_0_2024_V_0_3,9023,0,V,0,3
11156_2_2024_V_2_1,11156,2,V,2,1
5507_0_2024_W_0_1,5507,0,W,0,1
6620_0_2024_V_4_1,6620,0,V,4,1
3162_2_2024_V_0_1,3162,2,V,0,1
10515_0_2024_V_0_1,10515,0,V,0,1
276_1_2024_W_0_1,276,1,W,0,1
6044_0_2023_I_0_3,6044,0,I,0,3
28669_1_2023_I_0_3,28669,1,I,0,3
34175_1_2024_V_0_1,34175,1,V,0,1
10726_1_2024_V_1_2,10726,1,V,1,2
3799_0_2024_V_0_1,3799,0,V,0,1
5234_1_2024_V_4_1,5234,1,V,4,1
3846_1_2024_V_1_1,3846,1,V,1,1
7300_1_2024_V_0_1,7300,1,V,0,1
1102_0_2024_V_0_1,1102,0,V,0,1
30931_0_2024_W_0_1,30931,0,W,0,1
6402_0_2023_I_0_2,6402,0,I,0,2
3460_0_2024_V_0_3,3460,0,V,0,3
2744_2_2024_V_0_1,2744,2,V,0,1
27517_1_2023_I_0_2,27517,1,I,0,2
19897_2_2024_V_0_1,19897,2,V,0,1
1438_2_2024_V_0_1,1438,2,V,0,1
2649_2_2024_V_0_3,2649,2,V,0,3
2679_2_2024_V_0_3,2679,2,V,0,3
33184_2_2024_V_1_2,33184,2,V,1,2
27995_2_2024_V_0_3,27995,2,V,0,3
2405_1_2024_W_1_1,2405,1,W,1,1
330_2_2024_V_0_2,330,2,V,0,2
3775_2_2024_W_1_2,3775,2,W,1,2
6760_0_2024_V_0_2,6760,0,V,0,2
10025_0_2024_V_1_3,10025,0,V,1,3
26745_1_2024_V_1_2,26745,1,V,1,2
2306_1_2024_W_0_1,2306,1,W,0,1
19853_2_2024_V_0_3,19853,2,V,0,3
26596_0_2024_V_4_1,26596,0,V,4,1
