path,row,index,season,category,type
0_0_2024_V_0_3,0,0,V,0,3
0_1_2024_V_0_3,0,1,V,0,3
0_2_2024_V_0_3,0,2,V,0,3
1_0_2024_V_0_3,1,0,V,0,3
1_1_2024_V_0_3,1,1,V,0,3
1_2_2024_V_0_3,1,2,V,0,3
2_0_2024_V_0_1,2,0,V,0,1
2_1_2024_V_0_1,2,1,V,0,1
2_2_2024_V_0_1,2,2,V,0,1
3_0_2024_V_0_2,3,0,V,0,2
3_1_2024_V_0_2,3,1,V,0,2
3_2_2024_V_0_2,3,2,V,0,2
4_0_2024_V_0_2,4,0,V,0,2
4_1_2024_V_0_2,4,1,V,0,2
4_2_2024_V_0_2,4,2,V,0,2
5_0_2024_V_0_2,5,0,V,0,2
5_1_2024_V_0_2,5,1,V,0,2
5_2_2024_V_0_2,5,2,V,0,2
6_0_2023_I_0_3,6,0,I,0,3
6_1_2023_I_0_3,6,1,I,0,3
6_2_2023_I_0_3,6,2,I,0,3
7_0_2024_V_4_1,7,0,V,4,1
7_1_2024_V_4_1,7,1,V,4,1
8_0_2024_V_0_1,8,0,V,0,1
8_1_2024_V_0_1,8,1,V,0,1
8_2_2024_V_0_1,8,2,V,0,1
9_0_2024_V_4_1,9,0,V,4,1
9_1_2024_V_4_1,9,1,V,4,1
10_0_2024_V_0_3,10,0,V,0,3
10_1_2024_V_0_3,10,1,V,0,3
10_2_2024_V_0_3,10,2,V,0,3
11_0_2024_V_0_1,11,0,V,0,1
11_1_2024_V_0_1,11,1,V,0,1
11_2_2024_V_0_1,11,2,V,0,1
12_0_2023_I_1_3,12,0,I,1,3
12_1_2023_I_1_3,12,1,I,1,3
12_2_2023_I_1_3,12,2,I,1,3
13_0_2024_V_1_3,13,0,V,1,3
13_1_2024_V_1_3,13,1,V,1,3
13_2_2024_V_1_3,13,2,V,1,3
14_0_2024_V_4_1,14,0,V,4,1
15_0_2023_I_0_3,15,0,I,0,3
15_1_2023_I_0_3,15,1,I,0,3
15_2_2023_I_0_3,15,2,I,0,3
16_0_2024_V_0_3,16,0,V,0,3
16_1_2024_V_0_3,16,1,V,0,3
16_2_2024_V_0_3,16,2,V,0,3
17_0_2023_V_0_3,17,0,V,0,3
17_1_2023_V_0_3,17,1,V,0,3
17_2_2023_V_0_3,17,2,V,0,3
18_0_2024_V_0_1,18,0,V,0,1
18_1_2024_V_0_1,18,1,V,0,1
19_0_2024_V_0_1,19,0,V,0,1
19_1_2024_V_0_1,19,1,V,0,1
19_2_2024_V_0_1,19,2,V,0,1
20_0_2024_V_4_1,20,0,V,4,1
20_1_2024_V_4_1,20,1,V,4,1
21_0_2024_V_0_2,21,0,V,0,2
21_1_2024_V_0_2,21,1,V,0,2
21_2_2024_V_0_2,21,2,V,0,2
22_0_2024_V_0_1,22,0,V,0,1
22_1_2024_V_0_1,22,1,V,0,1
22_2_2024_V_0_1,22,2,V,0,1
23_0_2024_V_0_2,23,0,V,0,2
23_1_2024_V_0_2,23,1,V,0,2
23_2_2024_V_0_2,23,2,V,0,2
24_0_2024_V_0_3,24,0,V,0,3
24_1_2024_V_0_3,24,1,V,0,3
24_2_2024_V_0_3,24,2,V,0,3
25_0_2024_V_0_1,25,0,V,0,1
25_1_2024_V_0_1,25,1,V,0,1
25_2_2024_V_0_1,25,2,V,0,1
26_0_2024_V_0_1,26,0,V,0,1
26_1_2024_V_0_1,26,1,V,0,1
26_2_2024_V_0_1,26,2,V,0,1
27_0_2024_V_0_2,27,0,V,0,2
27_1_2024_V_0_2,27,1,V,0,2
27_2_2024_V_0_2,27,2,V,0,2
28_0_2024_V_4_1,28,0,V,4,1
28_1_2024_V_4_1,28,1,V,4,1
29_0_2024_V_0_3,29,0,V,0,3
29_1_2024_V_0_3,29,1,V,0,3
29_2_2024_V_0_3,29,2,V,0,3
30_0_2024_V_0_1,30,0,V,0,1
30_1_2024_V_0_1,30,1,V,0,1
30_2_2024_V_0_1,30,2,V,0,1
31_0_2024_V_0_3,31,0,V,0,3
31_1_2024_V_0_3,31,1,V,0,3
31_2_2024_V_0_3,31,2,V,0,3
32_0_2024_V_0_3,32,0,V,0,3
32_1_2024_V_0_3,32,1,V,0,3
32_2_2024_V_0_3,32,2,V,0,3
33_0_2024_V_0_2,33,0,V,0,2
33_1_2024_V_0_2,33,1,V,0,2
33_2_2024_V_0_2,33,2,V,0,2
34_0_2023_I_0_3,34,0,I,0,3
34_1_2023_I_0_3,34,1,I,0,3
34_2_2023_I_0_3,34,2,I,0,3
35_0_2024_V_1_1,35,0,V,1,1
35_1_2024_V_1_1,35,1,V,1,1
35_2_2024_V_1_1,35,2,V,1,1
36_0_2024_W_0_2,36,0,W,0,2
36_1_2024_W_0_2,36,1,W,0,2
36_2_2023_I_0_2,36,2,I,0,2
37_0_2024_V_0_2,37,0,V,0,2
37_1_2024_V_0_2,37,1,V,0,2
37_2_2024_V_0_2,37,2,V,0,2
38_0_2024_V_0_1,38,0,V,0,1
38_1_2024_V_0_1,38,1,V,0,1
38_2_2024_V_0_1,38,2,V,0,1
39_0_2024_V_0_1,39,0,V,0,1
39_1_2024_V_0_1,39,1,V,0,1
39_2_2024_V_0_1,39,2,V,0,1
40_0_2024_V_0_1,40,0,V,0,1
40_1_2024_V_0_1,40,1,V,0,1
40_2_2024_V_0_1,40,2,V,0,1
41_0_2024_W_1_2,41,0,W,1,2
41_1_2024_W_1_2,41,1,W,1,2
41_2_2024_W_1_2,41,2,W,1,2
42_0_2024_V_4_1,42,0,V,4,1
42_1_2024_V_4_1,42,1,V,4,1
43_0_2024_W_0_1,43,0,W,0,1
43_1_2024_W_0_1,43,1,W,0,1
43_2_2024_W_0_1,43,2,W,0,1
44_0_2024_V_0_1,44,0,V,0,1
44_1_2024_V_0_1,44,1,V,0,1
44_2_2024_V_0_1,44,2,V,0,1
45_0_2024_W_0_1,45,0,W,0,1
45_1_2024_W_0_1,45,1,W,0,1
45_2_2024_V_0_1,45,2,V,0,1
46_0_2024_V_0_1,46,0,V,0,1
46_1_2024_V_0_1,46,1,V,0,1
46_2_2024_V_0_1,46,2,V,0,1
47_0_2024_V_0_3,47,0,V,0,3
47_1_2024_V_0_3,47,1,V,0,3
47_2_2024_V_0_3,47,2,V,0,3
48_0_2023_V_0_3,48,0,V,0,3
48_1_2023_V_0_3,48,1,V,0,3
48_2_2023_V_0_3,48,2,V,0,3
49_0_2024_V_0_2,49,0,V,0,2
49_1_2024_V_0_2,49,1,V,0,2
49_2_2024_V_0_2,49,2,V,0,2
50_0_2023_I_0_3,50,0,I,0,3
50_1_2023_I_0_3,50,1,I,0,3
50_2_2023_I_0_3,50,2,I,0,3
51_0_2024_V_0_2,51,0,V,0,2
51_1_2024_V_0_2,51,1,V,0,2
51_2_2024_V_0_2,51,2,V,0,2
52_0_2023_I_0_3,52,0,I,0,3
52_1_2023_I_0_3,52,1,I,0,3
52_2_2023_I_0_3,52,2,I,0,3
53_0_2023_I_0_3,53,0,I,0,3
53_1_2023_I_0_3,53,1,I,0,3
53_2_2023_I_0_3,53,2,I,0,3
54_0_2024_V_4_1,54,0,V,4,1
54_1_2024_V_4_1,54,1,V,4,1
55_0_2024_W_1_3,55,0,W,1,3
55_1_2024_W_1_3,55,1,W,1,3
56_0_2024_V_0_1,56,0,V,0,1
56_1_2024_V_0_1,56,1,V,0,1
56_2_2024_V_0_1,56,2,V,0,1
57_0_2024_V_1_2,57,0,V,1,2
57_1_2024_V_1_2,57,1,V,1,2
57_2_2024_V_1_2,57,2,V,1,2
58_0_2024_V_1_1,58,0,V,1,1
58_1_2024_V_1_1,58,1,V,1,1
58_2_2024_V_1_1,58,2,V,1,1
59_0_2024_V_0_2,59,0,V,0,2
59_1_2024_V_0_2,59,1,V,0,2
59_2_2024_V_0_2,59,2,V,0,2
60_0_2024_V_1_1,60,0,V,1,1
60_1_2024_V_1_1,60,1,V,1,1
60_2_2024_V_1_1,60,2,V,1,1
61_0_2024_V_0_3,61,0,V,0,3
